year	agency	locality	industry	funding
2012	Dept of Health and Human Services	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	145000
2013	Dept of Health and Human Services	ALL	ALL	581215.6
2014	ALL	Chesapeake	REMEDIATION SERVICES	1390188.54
2012	Dept of Defense	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	203382103.07
2014	ALL	Newport News	CUSTOM COMPUTER PROGRAMMING SERVICES	37639.44
2012	Dept of Homeland Security	ALL	ALL OTHER INFORMATION SERVICES	30085
2011	ALL	Virginia Beach	OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS	13000
2012	ALL	Williamsburg	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	35780
2013	Dept of Homeland Security	ALL	ALL OTHER INFORMATION SERVICES	57726
2013	ALL	Newport News	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	2658726
2012	ALL	Norfolk	COMPUTER SYSTEMS DESIGN SERVICES	500000
2014	ALL	Chesapeake	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	203333
2012	ALL	Williamsburg	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	75878
2013	ALL	Newport News	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	267411.7
2014	ALL	Newport News	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	2870871.61
2011	Dept of Defense	Chesapeake	ALL	4654034.17
2011	ALL	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	40460
2012	Dept of Defense	ALL	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	129875.48
2011	ALL	Hampton	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	39655368.03
2014	Dept of Defense	ALL	WIRED TELECOMMUNICATIONS CARRIERS	6513117.28
2014	Dept of Defense	ALL	ELECTRONIC COMPUTER MANUFACTURING	669230
2011	ALL	Hampton	OTHER COMPUTER RELATED SERVICES	24756355.63
2014	Dept of Commerce	Newport News	ALL	26000
2011	Dept of Defense	ALL	REMEDIATION SERVICES	3165729.4
2012	Dept of Defense	ALL	ELECTRONIC CONNECTOR MANUFACTURING	184482.4
2011	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	784785.3
2014	Dept of Defense	ALL	INDUSTRIAL BUILDING CONSTRUCTION	318867
2012	ALL	ALL	REMEDIATION SERVICES	1672188.92
2013	Dept of Defense	ALL	ALL OTHER TELECOMMUNICATIONS	279250.9
2012	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	157541862.31
2013	ALL	Suffolk	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	5375
2012	ALL	ALL	ELECTRONIC CONNECTOR MANUFACTURING	184482.4
2012	ALL	Hampton	REMEDIATION SERVICES	146853.92
2014	ALL	Chesapeake	OTHER COMPUTER RELATED SERVICES	577036.11
2014	ALL	Newport News	WIRED TELECOMMUNICATIONS CARRIERS	3803634.28
2011	Dept of Defense	ALL	OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS	13000
2011	Dept of Defense	ALL	ALL OTHER SUPPORT SERVICES	215037
2011	ALL	ALL	ENGINEERING SERVICES	39827250.35
2014	ALL	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	141488.64
2012	ALL	Norfolk	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	782051.96
2014	Dept of Defense	ALL	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	423407
2014	Dept of Defense	ALL	ALL	2509325917.03
2012	ALL	Newport News	OTHER COMPUTER RELATED SERVICES	206275.56
2012	Dept of Homeland Security	ALL	ALL	1686223.34
2012	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	379461.41
2013	ALL	Norfolk	INDUSTRIAL BUILDING CONSTRUCTION	32442
2014	Dept of Defense	Hampton	ALL	4488622.85
2013	Dept of Defense	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	3922591.25
